,ANO,UF,CARGO,TOTAL,MULHERES,PARDOS,BRANCOS,PRETOS,AMARELOS,INDÍGENAS,MULHERES PARDAS,MULHERES BRANCAS,MULHERES PRETAS,MULHERES AMARELAS,MULHERES INDÍGENAS,%MULHERES,%PARDOS,%MULHERES ENTRE PARDOS,%BRANCOS,%MULHERES ENTRE BRANCOS,%PRETOS,%MULHERES ENTRE PRETOS,%AMARELOS,%MULHERES ENTRE AMARELOS,%INDÍGENAS,%MULHERES ENTRE INDÍGENAS
45,2014,PR,DEPUTADO ESTADUAL,846,267,106,690,50,0,0,19,235,13,0,0,0.31560283687943264,0.12529550827423167,0.1792452830188679,0.8156028368794326,0.34057971014492755,0.0591016548463357,0.26,0.0,,0.0,
46,2014,PR,DEPUTADO FEDERAL,344,109,29,290,23,0,2,5,89,13,0,2,0.3168604651162791,0.08430232558139535,0.1724137931034483,0.8430232558139535,0.30689655172413793,0.06686046511627906,0.5652173913043478,0.0,,0.005813953488372093,1.0
47,2014,PR,SENADOR,8,0,0,7,1,0,0,0,0,0,0,0,0.0,0.0,,0.875,0.0,0.125,0.0,0.0,,0.0,
48,2014,PE,DEPUTADO ESTADUAL,551,174,282,224,34,9,2,91,69,11,2,1,0.3157894736842105,0.5117967332123412,0.32269503546099293,0.40653357531760437,0.3080357142857143,0.06170598911070781,0.3235294117647059,0.016333938294010888,0.2222222222222222,0.003629764065335753,0.5
49,2014,PE,DEPUTADO FEDERAL,175,56,90,72,11,1,1,27,21,6,1,1,0.32,0.5142857142857142,0.3,0.4114285714285714,0.2916666666666667,0.06285714285714286,0.5454545454545454,0.005714285714285714,1.0,0.005714285714285714,1.0
50,2014,PE,SENADOR,5,2,2,3,0,0,0,0,2,0,0,0,0.4,0.4,0.0,0.6,0.6666666666666666,0.0,,0.0,,0.0,
51,2014,PI,DEPUTADO ESTADUAL,258,84,136,94,23,3,2,43,27,11,2,1,0.32558139534883723,0.5271317829457365,0.3161764705882353,0.3643410852713178,0.2872340425531915,0.08914728682170543,0.4782608695652174,0.011627906976744186,0.6666666666666666,0.007751937984496124,0.5
52,2014,PI,DEPUTADO FEDERAL,111,37,63,37,9,1,1,22,10,3,1,1,0.3333333333333333,0.5675675675675675,0.3492063492063492,0.3333333333333333,0.2702702702702703,0.08108108108108109,0.3333333333333333,0.009009009009009009,1.0,0.009009009009009009,1.0
53,2014,PI,SENADOR,6,0,0,4,1,0,1,0,0,0,0,0,0.0,0.0,,0.6666666666666666,0.0,0.16666666666666666,0.0,0.0,,0.16666666666666666,0.0
54,2014,RJ,DEPUTADO ESTADUAL,2037,618,623,1146,266,0,2,204,330,83,0,1,0.30338733431516934,0.30584192439862545,0.3274478330658106,0.5625920471281296,0.2879581151832461,0.13058419243986255,0.31203007518796994,0.0,,0.0009818360333824251,0.5
55,2014,RJ,DEPUTADO FEDERAL,1081,332,383,582,114,1,1,126,165,41,0,0,0.3071230342275671,0.35430157261794637,0.3289817232375979,0.5383903792784459,0.28350515463917525,0.10545790934320073,0.35964912280701755,0.0009250693802035153,0.0,0.0009250693802035153,0.0
56,2014,RJ,SENADOR,8,1,3,4,1,0,0,0,1,0,0,0,0.125,0.375,0.0,0.5,0.25,0.125,0.0,0.0,,0.0,
57,2014,RN,DEPUTADO ESTADUAL,274,92,68,185,18,2,1,19,66,6,0,1,0.3357664233576642,0.24817518248175183,0.27941176470588236,0.6751824817518248,0.3567567567567568,0.06569343065693431,0.3333333333333333,0.0072992700729927005,0.0,0.0036496350364963502,1.0
58,2014,RN,DEPUTADO FEDERAL,100,32,27,61,12,0,0,11,18,3,0,0,0.32,0.27,0.4074074074074074,0.61,0.29508196721311475,0.12,0.25,0.0,,0.0,
59,2014,RN,SENADOR,5,3,1,3,1,0,0,1,1,1,0,0,0.6,0.2,1.0,0.6,0.3333333333333333,0.2,1.0,0.0,,0.0,
60,2014,RS,DEPUTADO ESTADUAL,721,226,24,659,37,0,1,6,204,16,0,0,0.31345353675450766,0.033287101248266296,0.25,0.9140083217753121,0.3095599393019727,0.05131761442441054,0.43243243243243246,0.0,,0.0013869625520110957,0.0
61,2014,RS,DEPUTADO FEDERAL,327,105,11,298,17,0,1,4,96,4,0,1,0.3211009174311927,0.03363914373088685,0.36363636363636365,0.9113149847094801,0.3221476510067114,0.05198776758409786,0.23529411764705882,0.0,,0.0030581039755351682,1.0
62,2014,RS,SENADOR,8,1,0,8,0,0,0,0,1,0,0,0,0.125,0.0,,1.0,0.125,0.0,,0.0,,0.0,
63,2014,RO,DEPUTADO ESTADUAL,448,145,226,172,43,5,2,71,55,19,0,0,0.3236607142857143,0.5044642857142857,0.3141592920353982,0.38392857142857145,0.31976744186046513,0.09598214285714286,0.4418604651162791,0.011160714285714286,0.0,0.004464285714285714,0.0
64,2014,RO,DEPUTADO FEDERAL,95,31,42,42,11,0,0,14,16,1,0,0,0.3263157894736842,0.4421052631578947,0.3333333333333333,0.4421052631578947,0.38095238095238093,0.11578947368421053,0.09090909090909091,0.0,,0.0,
65,2014,RO,SENADOR,4,1,0,4,0,0,0,0,1,0,0,0,0.25,0.0,,1.0,0.25,0.0,,0.0,,0.0,
66,2014,RR,DEPUTADO ESTADUAL,423,134,239,158,19,1,6,79,46,6,0,3,0.31678486997635935,0.5650118203309693,0.3305439330543933,0.3735224586288416,0.2911392405063291,0.04491725768321513,0.3157894736842105,0.002364066193853428,0.0,0.014184397163120567,0.5
67,2014,RR,DEPUTADO FEDERAL,85,28,48,30,6,0,1,18,8,2,0,0,0.32941176470588235,0.5647058823529412,0.375,0.35294117647058826,0.26666666666666666,0.07058823529411765,0.3333333333333333,0.0,,0.011764705882352941,0.0
68,2014,RR,SENADOR,6,1,2,4,0,0,0,0,1,0,0,0,0.16666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.25,0.0,,0.0,,0.0,
69,2014,SC,DEPUTADO ESTADUAL,491,159,16,450,25,0,0,9,140,10,0,0,0.32382892057026474,0.032586558044806514,0.5625,0.9164969450101833,0.3111111111111111,0.05091649694501019,0.4,0.0,,0.0,
70,2014,SC,DEPUTADO FEDERAL,145,49,5,129,11,0,0,3,41,5,0,0,0.33793103448275863,0.034482758620689655,0.6,0.8896551724137931,0.3178294573643411,0.07586206896551724,0.45454545454545453,0.0,,0.0,
71,2014,SC,SENADOR,7,2,0,7,0,0,0,0,2,0,0,0,0.2857142857142857,0.0,,1.0,0.2857142857142857,0.0,,0.0,,0.0,
72,2014,SP,DEPUTADO ESTADUAL,2127,654,347,1573,186,18,3,104,482,66,2,0,0.307475317348378,0.16314057357780912,0.29971181556195964,0.7395392571697226,0.3064208518753973,0.08744710860366714,0.3548387096774194,0.00846262341325811,0.1111111111111111,0.0014104372355430183,0.0
73,2014,SP,DEPUTADO FEDERAL,1484,464,246,1071,142,22,3,77,321,63,2,1,0.31266846361185985,0.16576819407008087,0.3130081300813008,0.7216981132075472,0.29971988795518206,0.09568733153638814,0.44366197183098594,0.014824797843665768,0.09090909090909091,0.0020215633423180594,0.3333333333333333
74,2014,SP,SENADOR,11,2,2,8,0,0,1,0,2,0,0,0,0.18181818181818182,0.18181818181818182,0.0,0.7272727272727273,0.25,0.0,,0.0,,0.09090909090909091,0.0
75,2014,SE,DEPUTADO ESTADUAL,186,62,101,73,11,1,0,29,29,3,1,0,0.3333333333333333,0.543010752688172,0.2871287128712871,0.3924731182795699,0.3972602739726027,0.05913978494623656,0.2727272727272727,0.005376344086021506,1.0,0.0,
76,2014,SE,DEPUTADO FEDERAL,89,29,39,40,9,1,0,13,13,2,1,0,0.3258426966292135,0.43820224719101125,0.3333333333333333,0.449438202247191,0.325,0.10112359550561797,0.2222222222222222,0.011235955056179775,1.0,0.0,
77,2014,SE,SENADOR,5,1,2,2,1,0,0,0,1,0,0,0,0.2,0.4,0.0,0.4,0.5,0.2,0.0,0.0,,0.0,
78,2014,TO,DEPUTADO ESTADUAL,282,86,143,105,32,1,1,45,35,5,1,0,0.3049645390070922,0.5070921985815603,0.3146853146853147,0.3723404255319149,0.3333333333333333,0.11347517730496454,0.15625,0.0035460992907801418,1.0,0.0035460992907801418,0.0
79,2014,TO,DEPUTADO FEDERAL,56,18,18,32,6,0,0,5,11,2,0,0,0.32142857142857145,0.32142857142857145,0.2777777777777778,0.5714285714285714,0.34375,0.10714285714285714,0.3333333333333333,0.0,,0.0,
80,2014,TO,SENADOR,6,2,2,3,1,0,0,0,1,1,0,0,0.3333333333333333,0.3333333333333333,0.0,0.5,0.3333333333333333,0.16666666666666666,1.0,0.0,,0.0,
81,2018,AC,DEPUTADO ESTADUAL,469,151,345,93,27,1,3,102,35,13,0,1,0.32196162046908317,0.7356076759061834,0.2956521739130435,0.19829424307036247,0.3763440860215054,0.057569296375266525,0.48148148148148145,0.0021321961620469083,0.0,0.006396588486140725,0.3333333333333333
82,2018,AC,DEPUTADO FEDERAL,84,29,54,22,6,0,2,18,9,2,0,0,0.34523809523809523,0.6428571428571429,0.3333333333333333,0.2619047619047619,0.4090909090909091,0.07142857142857142,0.3333333333333333,0.0,,0.023809523809523808,0.0
83,2018,AC,SENADOR,6,0,1,4,0,1,0,0,0,0,0,0,0.0,0.16666666666666666,0.0,0.6666666666666666,0.0,0.0,,0.16666666666666666,0.0,0.0,
84,2018,AL,DEPUTADO ESTADUAL,332,106,180,119,31,0,2,57,35,12,0,2,0.3192771084337349,0.5421686746987951,0.31666666666666665,0.35843373493975905,0.29411764705882354,0.09337349397590361,0.3870967741935484,0.0,,0.006024096385542169,1.0
85,2018,AL,DEPUTADO FEDERAL,82,28,23,51,7,0,1,6,18,3,0,1,0.34146341463414637,0.2804878048780488,0.2608695652173913,0.6219512195121951,0.35294117647058826,0.08536585365853659,0.42857142857142855,0.0,,0.012195121951219513,1.0
86,2018,AL,SENADOR,9,1,4,5,0,0,0,0,1,0,0,0,0.1111111111111111,0.4444444444444444,0.0,0.5555555555555556,0.2,0.0,,0.0,,0.0,
87,2018,AP,DEPUTADO ESTADUAL,493,165,297,124,69,2,1,93,43,27,1,1,0.33468559837728196,0.6024340770791075,0.31313131313131315,0.2515212981744422,0.3467741935483871,0.13995943204868155,0.391304347826087,0.004056795131845842,0.5,0.002028397565922921,1.0
88,2018,AP,DEPUTADO FEDERAL,119,40,61,27,29,1,1,24,8,8,0,0,0.33613445378151263,0.5126050420168067,0.39344262295081966,0.226890756302521,0.2962962962962963,0.24369747899159663,0.27586206896551724,0.008403361344537815,0.0,0.008403361344537815,0.0
89,2018,AP,SENADOR,12,3,4,7,1,0,0,1,1,1,0,0,0.25,0.3333333333333333,0.25,0.5833333333333334,0.14285714285714285,0.08333333333333333,1.0,0.0,,0.0,
90,2018,AM,DEPUTADO ESTADUAL,655,202,410,179,50,3,13,126,58,14,0,4,0.3083969465648855,0.6259541984732825,0.3073170731707317,0.2732824427480916,0.3240223463687151,0.07633587786259542,0.28,0.004580152671755725,0.0,0.01984732824427481,0.3076923076923077
91,2018,AM,DEPUTADO FEDERAL,152,48,85,47,15,1,4,26,14,6,0,2,0.3157894736842105,0.5592105263157895,0.3058823529411765,0.3092105263157895,0.2978723404255319,0.09868421052631579,0.4,0.006578947368421052,0.0,0.02631578947368421,0.5
92,2018,AM,SENADOR,9,1,2,6,1,0,0,0,1,0,0,0,0.1111111111111111,0.2222222222222222,0.0,0.6666666666666666,0.16666666666666666,0.1111111111111111,0.0,0.0,,0.0,
93,2018,BA,DEPUTADO ESTADUAL,641,197,325,149,159,4,4,98,39,58,2,0,0.3073322932917317,0.5070202808112324,0.30153846153846153,0.23244929797191888,0.26174496644295303,0.24804992199687986,0.36477987421383645,0.0062402496099844,0.5,0.0062402496099844,0.0
94,2018,BA,DEPUTADO FEDERAL,499,164,257,137,102,0,3,83,37,43,0,1,0.3286573146292585,0.5150300601202404,0.3229571984435798,0.2745490981963928,0.27007299270072993,0.20440881763527055,0.4215686274509804,0.0,,0.006012024048096192,0.3333333333333333
95,2018,BA,SENADOR,11,0,3,6,2,0,0,0,0,0,0,0,0.0,0.2727272727272727,0.0,0.5454545454545454,0.0,0.18181818181818182,0.0,0.0,,0.0,
96,2018,CE,DEPUTADO ESTADUAL,595,183,309,235,41,2,8,87,74,17,1,4,0.30756302521008405,0.519327731092437,0.2815533980582524,0.3949579831932773,0.3148936170212766,0.06890756302521009,0.4146341463414634,0.0033613445378151263,0.5,0.013445378151260505,0.5
