,UF,CARGO,SG_PARTIDO,propor10,propor14,propor18,Variaçao 14-18,Variaçao 10-14,Variaçao 10-18
56,AC,DEPUTADO FEDERAL,PATRI,0.0,0.0,0.0,,,
57,AC,DEPUTADO FEDERAL,PODE,0.0,0.0,0.5,inf,,inf
58,AC,DEPUTADO FEDERAL,REDE,0.0,0.0,0.5,inf,,inf
59,AC,DEPUTADO FEDERAL,SOLIDARIEDADE,0.0,0.0,1.0,inf,,inf
60,AC,DEPUTADO FEDERAL,PMB,0.0,0.0,1.0,inf,,inf
61,AC,SENADOR,PT,0.0,1.0,0.0,-1.0,inf,
62,AC,SENADOR,PSD,0.0,0.0,0.0,,,
63,AC,SENADOR,REDE,0.0,0.0,0.0,,,
64,AC,SENADOR,PSL,0.0,0.0,0.0,,,
65,AC,SENADOR,MDB,0.0,0.0,0.0,,,
66,AL,DEPUTADO ESTADUAL,PRTB,0.1,0.35714285714285715,0.3333333333333333,-0.06666666666666674,2.571428571428571,2.333333333333333
67,AL,DEPUTADO ESTADUAL,PDT,0.25,0.35294117647058826,0.25,-0.2916666666666667,0.41176470588235303,0.0
68,AL,DEPUTADO ESTADUAL,PPS,0.3055555555555556,0.38095238095238093,0.3333333333333333,-0.125,0.24675324675324659,0.09090909090909076
69,AL,DEPUTADO ESTADUAL,PSB,0.5,0.125,0.2222222222222222,0.7777777777777777,-0.75,-0.5555555555555556
70,AL,DEPUTADO ESTADUAL,PV,0.21052631578947367,0.2857142857142857,0.38461538461538464,0.3461538461538463,0.35714285714285715,0.8269230769230771
71,AL,DEPUTADO ESTADUAL,PMN,0.14285714285714285,0.4,0.3333333333333333,-0.16666666666666677,1.8000000000000003,1.3333333333333333
72,AL,DEPUTADO ESTADUAL,PSL,0.0,0.4,0.36363636363636365,-0.09090909090909094,inf,inf
73,AL,DEPUTADO ESTADUAL,PSC,0.6666666666666666,1.0,0.5,-0.5,0.5000000000000001,-0.24999999999999994
74,AL,DEPUTADO ESTADUAL,PTB,0.11764705882352941,0.23529411764705882,0.3333333333333333,0.41666666666666663,1.0,1.8333333333333333
75,AL,DEPUTADO ESTADUAL,PC do B,0.4,0.5,0.25,-0.5,0.24999999999999994,-0.37500000000000006
76,AL,DEPUTADO ESTADUAL,PSDB,0.1,0.36363636363636365,0.6666666666666666,0.8333333333333331,2.6363636363636367,5.666666666666666
77,AL,DEPUTADO ESTADUAL,DEM,0.18181818181818182,0.16666666666666666,0.2857142857142857,0.7142857142857143,-0.08333333333333341,0.5714285714285713
78,AL,DEPUTADO ESTADUAL,PSOL,0.3,0.3,0.3142857142857143,0.04761904761904764,0.0,0.04761904761904764
79,AL,DEPUTADO ESTADUAL,PP,0.375,0.5714285714285714,0.25,-0.5625,0.5238095238095237,-0.3333333333333333
80,AL,DEPUTADO ESTADUAL,PRB,0.0,0.3076923076923077,0.0,-1.0,inf,
81,AL,DEPUTADO ESTADUAL,PCB,0.3333333333333333,0.3076923076923077,1.0,2.25,-0.07692307692307682,2.0000000000000004
82,AL,DEPUTADO ESTADUAL,PT,0.30434782608695654,0.3076923076923077,0.28125,-0.08593750000000006,0.010989010989010981,-0.0758928571428572
83,AL,DEPUTADO ESTADUAL,PR,0.0,0.0,0.0,,,
84,AL,DEPUTADO ESTADUAL,PTC,0.0,0.3076923076923077,0.5555555555555556,0.8055555555555556,inf,inf
85,AL,DEPUTADO ESTADUAL,PHS,0.0,0.3684210526315789,0.3,-0.1857142857142857,inf,inf
86,AL,DEPUTADO ESTADUAL,PSD,0.0,0.3333333333333333,0.16666666666666666,-0.5,inf,inf
87,AL,DEPUTADO ESTADUAL,PROS,0.0,0.2222222222222222,0.14285714285714285,-0.35714285714285715,inf,inf
88,AL,DEPUTADO ESTADUAL,PPL,0.0,0.25,0.42857142857142855,0.7142857142857142,inf,inf
89,AL,DEPUTADO ESTADUAL,PSTU,0.0,1.0,0.0,-1.0,inf,
90,AL,DEPUTADO ESTADUAL,PATRI,0.0,1.0,0.13333333333333333,-0.8666666666666667,inf,inf
91,AL,DEPUTADO ESTADUAL,AVANTE,0.0,1.0,0.3333333333333333,-0.6666666666666667,inf,inf
92,AL,DEPUTADO ESTADUAL,MDB,0.0,1.0,0.42857142857142855,-0.5714285714285714,inf,inf
93,AL,DEPUTADO ESTADUAL,REDE,0.0,1.0,0.5,-0.5,inf,inf
94,AL,DEPUTADO ESTADUAL,SOLIDARIEDADE,0.0,1.0,0.0,-1.0,inf,
95,AL,DEPUTADO ESTADUAL,DC,0.0,1.0,0.0,-1.0,inf,
96,AL,DEPUTADO ESTADUAL,PODE,0.0,1.0,0.25,-0.75,inf,inf
97,AL,DEPUTADO FEDERAL,PTB,0.42857142857142855,0.0,0.5,inf,-1.0,0.16666666666666674
98,AL,DEPUTADO FEDERAL,PSDB,0.16666666666666666,0.35714285714285715,0.3333333333333333,-0.06666666666666674,1.142857142857143,1.0
99,AL,DEPUTADO FEDERAL,PSOL,0.3076923076923077,0.4,0.5,0.24999999999999994,0.3,0.6249999999999999
100,AL,DEPUTADO FEDERAL,PSB,0.0,0.5,0.0,-1.0,inf,
101,AL,DEPUTADO FEDERAL,PP,0.3333333333333333,0.4444444444444444,0.4,-0.0999999999999999,0.3333333333333333,0.20000000000000012
102,AL,DEPUTADO FEDERAL,PC do B,0.5,0.4444444444444444,0.25,-0.43749999999999994,-0.11111111111111116,-0.5
103,AL,DEPUTADO FEDERAL,PSC,0.0,0.0,0.5,inf,,inf
104,AL,DEPUTADO FEDERAL,PMN,0.2,0.5,1.0,1.0,1.4999999999999998,4.0
105,AL,DEPUTADO FEDERAL,PHS,0.0,0.0,0.2857142857142857,inf,,inf
106,AL,DEPUTADO FEDERAL,PR,0.0,0.5,0.0,-1.0,inf,
107,AL,DEPUTADO FEDERAL,DEM,0.25,0.0,1.0,inf,-1.0,3.0
108,AL,DEPUTADO FEDERAL,PT,0.0,0.0,0.0,,,
109,AL,DEPUTADO FEDERAL,PV,0.0,0.6666666666666666,0.5,-0.24999999999999994,inf,inf
110,AL,DEPUTADO FEDERAL,PSL,0.0,0.6666666666666666,0.2727272727272727,-0.5909090909090909,inf,inf
111,AL,DEPUTADO FEDERAL,PRB,0.25,0.36363636363636365,0.0,-1.0,0.4545454545454546,-1.0
112,AL,DEPUTADO FEDERAL,PDT,0.0,0.5,0.0,-1.0,inf,
113,AL,DEPUTADO FEDERAL,PCB,0.0,0.0,0.0,,,
114,AL,DEPUTADO FEDERAL,PRTB,0.0,0.2631578947368421,0.25,-0.04999999999999995,inf,inf
115,AL,DEPUTADO FEDERAL,PPS,1.0,0.5,0.0,-1.0,-0.5,-1.0
116,AL,DEPUTADO FEDERAL,PTC,1.0,0.4,0.0,-1.0,-0.6,-1.0
117,AL,DEPUTADO FEDERAL,PSD,1.0,0.0,0.5,inf,-1.0,-0.5
118,AL,DEPUTADO FEDERAL,PROS,1.0,0.0,0.0,,-1.0,-1.0
119,AL,DEPUTADO FEDERAL,PSTU,1.0,0.0,0.0,,-1.0,-1.0
120,AL,DEPUTADO FEDERAL,PPL,1.0,0.0,0.5,inf,-1.0,-0.5
