,ANO,UF,CARGO,PARTIDO,HOMENS,MULHERES,TOTAL,%MULHERES,%HOMENS
490,2018,AP,DEPUTADO ESTADUAL,DEM,11,7,18,0.3888888888888889,0.6111111111111112
491,2018,AP,DEPUTADO ESTADUAL,MDB,5,2,7,0.2857142857142857,0.7142857142857143
492,2018,AP,DEPUTADO ESTADUAL,DC,3,1,4,0.25,0.75
493,2018,AP,DEPUTADO ESTADUAL,PDT,8,8,16,0.5,0.5
494,2018,AP,DEPUTADO ESTADUAL,PC do B,6,2,8,0.25,0.75
495,2018,AP,DEPUTADO ESTADUAL,PSB,22,10,32,0.3125,0.6875
496,2018,AP,DEPUTADO ESTADUAL,PRB,5,4,9,0.4444444444444444,0.5555555555555556
497,2018,AP,DEPUTADO ESTADUAL,SOLIDARIEDADE,5,4,9,0.4444444444444444,0.5555555555555556
498,2018,AP,DEPUTADO ESTADUAL,PT,13,8,21,0.38095238095238093,0.6190476190476191
499,2018,AP,DEPUTADO ESTADUAL,PSOL,9,3,12,0.25,0.75
500,2018,AP,DEPUTADO ESTADUAL,REDE,19,9,28,0.32142857142857145,0.6785714285714286
501,2018,AP,DEPUTADO ESTADUAL,PPS,8,5,13,0.38461538461538464,0.6153846153846154
502,2018,AP,DEPUTADO ESTADUAL,PP,18,9,27,0.3333333333333333,0.6666666666666666
503,2018,AP,DEPUTADO ESTADUAL,PODE,18,10,28,0.35714285714285715,0.6428571428571429
504,2018,AP,DEPUTADO ESTADUAL,PPL,5,2,7,0.2857142857142857,0.7142857142857143
505,2018,AP,DEPUTADO ESTADUAL,PR,27,10,37,0.2702702702702703,0.7297297297297297
506,2018,AP,DEPUTADO ESTADUAL,PTC,26,12,38,0.3157894736842105,0.6842105263157895
507,2018,AP,DEPUTADO ESTADUAL,PSL,6,1,7,0.14285714285714285,0.8571428571428571
508,2018,AP,DEPUTADO ESTADUAL,PSC,23,11,34,0.3235294117647059,0.6764705882352942
509,2018,AP,DEPUTADO ESTADUAL,PV,17,7,24,0.2916666666666667,0.7083333333333334
510,2018,AP,DEPUTADO ESTADUAL,PSDB,10,6,16,0.375,0.625
511,2018,AP,DEPUTADO ESTADUAL,PSD,6,4,10,0.4,0.6
512,2018,AP,DEPUTADO ESTADUAL,PMN,2,2,4,0.5,0.5
513,2018,AP,DEPUTADO ESTADUAL,PHS,7,6,13,0.46153846153846156,0.5384615384615384
514,2018,AP,DEPUTADO ESTADUAL,PRP,15,8,23,0.34782608695652173,0.6521739130434783
515,2018,AP,DEPUTADO ESTADUAL,AVANTE,5,1,6,0.16666666666666666,0.8333333333333334
516,2018,AP,DEPUTADO ESTADUAL,PROS,11,5,16,0.3125,0.6875
517,2018,AP,DEPUTADO ESTADUAL,PMB,6,5,11,0.45454545454545453,0.5454545454545454
518,2018,AP,DEPUTADO ESTADUAL,PTB,5,2,7,0.2857142857142857,0.7142857142857143
519,2018,AP,DEPUTADO ESTADUAL,PATRI,6,0,6,0.0,1.0
520,2018,AP,DEPUTADO ESTADUAL,PSTU,1,1,2,0.5,0.5
521,2018,AP,DEPUTADO FEDERAL,MDB,3,2,5,0.4,0.6
522,2018,AP,DEPUTADO FEDERAL,PSL,1,0,1,0.0,1.0
523,2018,AP,DEPUTADO FEDERAL,PR,6,2,8,0.25,0.75
524,2018,AP,DEPUTADO FEDERAL,SOLIDARIEDADE,2,1,3,0.3333333333333333,0.6666666666666666
525,2018,AP,DEPUTADO FEDERAL,PDT,6,2,8,0.25,0.75
526,2018,AP,DEPUTADO FEDERAL,PHS,3,4,7,0.5714285714285714,0.42857142857142855
527,2018,AP,DEPUTADO FEDERAL,PTC,4,1,5,0.2,0.8
528,2018,AP,DEPUTADO FEDERAL,PSOL,4,3,7,0.42857142857142855,0.5714285714285714
529,2018,AP,DEPUTADO FEDERAL,PT,3,5,8,0.625,0.375
530,2018,AP,DEPUTADO FEDERAL,PSB,8,3,11,0.2727272727272727,0.7272727272727273
531,2018,AP,DEPUTADO FEDERAL,PSDB,1,1,2,0.5,0.5
532,2018,AP,DEPUTADO FEDERAL,AVANTE,1,1,2,0.5,0.5
533,2018,AP,DEPUTADO FEDERAL,REDE,6,1,7,0.14285714285714285,0.8571428571428571
534,2018,AP,DEPUTADO FEDERAL,DEM,4,1,5,0.2,0.8
535,2018,AP,DEPUTADO FEDERAL,PROS,2,0,2,0.0,1.0
536,2018,AP,DEPUTADO FEDERAL,PRB,0,1,1,1.0,0.0
537,2018,AP,DEPUTADO FEDERAL,PV,5,1,6,0.16666666666666666,0.8333333333333334
538,2018,AP,DEPUTADO FEDERAL,PSC,2,1,3,0.3333333333333333,0.6666666666666666
539,2018,AP,DEPUTADO FEDERAL,PTB,6,1,7,0.14285714285714285,0.8571428571428571
540,2018,AP,DEPUTADO FEDERAL,PPL,2,1,3,0.3333333333333333,0.6666666666666666
541,2018,AP,DEPUTADO FEDERAL,PMN,3,1,4,0.25,0.75
542,2018,AP,DEPUTADO FEDERAL,PP,1,1,2,0.5,0.5
543,2018,AP,DEPUTADO FEDERAL,PSD,2,1,3,0.3333333333333333,0.6666666666666666
544,2018,AP,DEPUTADO FEDERAL,PATRI,1,0,1,0.0,1.0
545,2018,AP,DEPUTADO FEDERAL,PSTU,1,1,2,0.5,0.5
546,2018,AP,DEPUTADO FEDERAL,PPS,1,0,1,0.0,1.0
547,2018,AP,DEPUTADO FEDERAL,DC,0,1,1,1.0,0.0
548,2018,AP,DEPUTADO FEDERAL,PRP,1,1,2,0.5,0.5
549,2018,AP,DEPUTADO FEDERAL,PC do B,0,1,1,1.0,0.0
550,2018,AP,DEPUTADO FEDERAL,PODE,0,1,1,1.0,0.0
551,2018,AP,SENADOR,PMN,1,0,1,0.0,1.0
552,2018,AP,SENADOR,MDB,1,1,2,0.5,0.5
553,2018,AP,SENADOR,PTC,1,0,1,0.0,1.0
554,2018,AP,SENADOR,REDE,1,0,1,0.0,1.0
