,ANO,UF,CARGO,PARTIDO,HOMENS,MULHERES,TOTAL,%MULHERES,%HOMENS
1288,2014,DF,DEPUTADO FEDERAL,PC do B,1,0,1,0.0,1.0
1289,2014,DF,DEPUTADO FEDERAL,PSTU,1,1,2,0.5,0.5
1290,2014,DF,DEPUTADO FEDERAL,PV,1,0,1,0.0,1.0
1291,2014,DF,DEPUTADO FEDERAL,PCO,1,0,1,0.0,1.0
1292,2014,DF,SENADOR,PDT,1,0,1,0.0,1.0
1293,2014,DF,SENADOR,PT,1,0,1,0.0,1.0
1294,2014,DF,SENADOR,PSTU,1,0,1,0.0,1.0
1295,2014,DF,SENADOR,PSOL,1,0,1,0.0,1.0
1296,2014,DF,SENADOR,PCB,1,0,1,0.0,1.0
1297,2014,DF,SENADOR,PCO,1,0,1,0.0,1.0
1298,2014,DF,SENADOR,PSDB,0,1,1,1.0,0.0
1299,2014,DF,SENADOR,PTB,1,0,1,0.0,1.0
1300,2018,DF,DEPUTADO DISTRITAL,PC do B,10,5,15,0.3333333333333333,0.6666666666666666
1301,2018,DF,DEPUTADO DISTRITAL,PMB,12,12,24,0.5,0.5
1302,2018,DF,DEPUTADO DISTRITAL,PP,34,15,49,0.30612244897959184,0.6938775510204082
1303,2018,DF,DEPUTADO DISTRITAL,PDT,21,8,29,0.27586206896551724,0.7241379310344828
1304,2018,DF,DEPUTADO DISTRITAL,DC,7,2,9,0.2222222222222222,0.7777777777777778
1305,2018,DF,DEPUTADO DISTRITAL,PR,33,15,48,0.3125,0.6875
1306,2018,DF,DEPUTADO DISTRITAL,PT,23,11,34,0.3235294117647059,0.6764705882352942
1307,2018,DF,DEPUTADO DISTRITAL,PATRI,21,4,25,0.16,0.84
1308,2018,DF,DEPUTADO DISTRITAL,PPS,21,9,30,0.3,0.7
1309,2018,DF,DEPUTADO DISTRITAL,PRTB,4,5,9,0.5555555555555556,0.4444444444444444
1310,2018,DF,DEPUTADO DISTRITAL,PODE,16,8,24,0.3333333333333333,0.6666666666666666
1311,2018,DF,DEPUTADO DISTRITAL,PSL,14,9,23,0.391304347826087,0.6086956521739131
1312,2018,DF,DEPUTADO DISTRITAL,REDE,23,10,33,0.30303030303030304,0.696969696969697
1313,2018,DF,DEPUTADO DISTRITAL,MDB,32,16,48,0.3333333333333333,0.6666666666666666
1314,2018,DF,DEPUTADO DISTRITAL,NOVO,21,10,31,0.3225806451612903,0.6774193548387096
1315,2018,DF,DEPUTADO DISTRITAL,PMN,10,8,18,0.4444444444444444,0.5555555555555556
1316,2018,DF,DEPUTADO DISTRITAL,AVANTE,35,16,51,0.3137254901960784,0.6862745098039216
1317,2018,DF,DEPUTADO DISTRITAL,PHS,30,13,43,0.3023255813953488,0.6976744186046512
1318,2018,DF,DEPUTADO DISTRITAL,PTB,33,15,48,0.3125,0.6875
1319,2018,DF,DEPUTADO DISTRITAL,DEM,10,4,14,0.2857142857142857,0.7142857142857143
1320,2018,DF,DEPUTADO DISTRITAL,SOLIDARIEDADE,12,4,16,0.25,0.75
1321,2018,DF,DEPUTADO DISTRITAL,PRB,21,11,32,0.34375,0.65625
1322,2018,DF,DEPUTADO DISTRITAL,PROS,33,15,48,0.3125,0.6875
1323,2018,DF,DEPUTADO DISTRITAL,PV,11,8,19,0.42105263157894735,0.5789473684210527
1324,2018,DF,DEPUTADO DISTRITAL,PSB,24,13,37,0.35135135135135137,0.6486486486486487
1325,2018,DF,DEPUTADO DISTRITAL,PSOL,16,7,23,0.30434782608695654,0.6956521739130435
1326,2018,DF,DEPUTADO DISTRITAL,PSC,34,14,48,0.2916666666666667,0.7083333333333334
1327,2018,DF,DEPUTADO DISTRITAL,PSD,14,5,19,0.2631578947368421,0.7368421052631579
1328,2018,DF,DEPUTADO DISTRITAL,PTC,23,8,31,0.25806451612903225,0.7419354838709677
1329,2018,DF,DEPUTADO DISTRITAL,PSDB,17,9,26,0.34615384615384615,0.6538461538461539
1330,2018,DF,DEPUTADO DISTRITAL,PRP,29,10,39,0.2564102564102564,0.7435897435897436
1331,2018,DF,DEPUTADO DISTRITAL,PPL,19,5,24,0.20833333333333334,0.7916666666666666
1332,2018,DF,DEPUTADO DISTRITAL,PCO,3,2,5,0.4,0.6
1333,2018,DF,DEPUTADO DISTRITAL,PSTU,1,0,1,0.0,1.0
