,ANO,UF,CARGO,TOTAL,MULHERES,PARDOS,BRANCOS,PRETOS,AMARELOS,INDÍGENAS,MULHERES PARDAS,MULHERES BRANCAS,MULHERES PRETAS,MULHERES AMARELAS,MULHERES INDÍGENAS,%MULHERES,%PARDOS,%MULHERES ENTRE PARDOS,%BRANCOS,%MULHERES ENTRE BRANCOS,%PRETOS,%MULHERES ENTRE PRETOS,%AMARELOS,%MULHERES ENTRE AMARELOS,%INDÍGENAS,%MULHERES ENTRE INDÍGENAS
0,2014,AC,DEPUTADO ESTADUAL,530,163,389,87,48,5,1,112,36,11,4,0,0.30754716981132074,0.7339622641509433,0.2879177377892031,0.1641509433962264,0.41379310344827586,0.09056603773584905,0.22916666666666666,0.009433962264150943,0.8,0.0018867924528301887,0.0
1,2014,AC,DEPUTADO FEDERAL,65,22,39,20,4,1,1,13,7,1,1,0,0.3384615384615385,0.6,0.3333333333333333,0.3076923076923077,0.35,0.06153846153846154,0.25,0.015384615384615385,1.0,0.015384615384615385,0.0
2,2014,AC,SENADOR,4,1,2,1,0,0,1,1,0,0,0,0,0.25,0.5,0.5,0.25,0.0,0.0,,0.0,,0.25,0.0
3,2014,AL,DEPUTADO ESTADUAL,307,98,183,104,19,0,1,65,30,3,0,0,0.31921824104234525,0.5960912052117264,0.3551912568306011,0.33876221498371334,0.28846153846153844,0.06188925081433225,0.15789473684210525,0.0,,0.003257328990228013,0.0
4,2014,AL,DEPUTADO FEDERAL,122,40,59,57,5,1,0,21,16,3,0,0,0.32786885245901637,0.48360655737704916,0.3559322033898305,0.4672131147540984,0.2807017543859649,0.040983606557377046,0.6,0.00819672131147541,0.0,0.0,
5,2014,AL,SENADOR,8,1,2,6,0,0,0,1,0,0,0,0,0.125,0.25,0.5,0.75,0.0,0.0,,0.0,,0.0,
6,2014,AP,DEPUTADO ESTADUAL,383,117,203,131,44,2,3,63,39,13,0,2,0.30548302872062666,0.5300261096605744,0.3103448275862069,0.34203655352480417,0.29770992366412213,0.11488250652741515,0.29545454545454547,0.005221932114882507,0.0,0.007832898172323759,0.6666666666666666
7,2014,AP,DEPUTADO FEDERAL,115,41,65,37,12,1,0,26,12,3,0,0,0.3565217391304348,0.5652173913043478,0.4,0.3217391304347826,0.32432432432432434,0.10434782608695652,0.25,0.008695652173913044,0.0,0.0,
8,2014,AP,SENADOR,10,3,4,4,2,0,0,0,2,1,0,0,0.3,0.4,0.0,0.4,0.5,0.2,0.5,0.0,,0.0,
9,2014,AM,DEPUTADO ESTADUAL,637,200,409,182,39,0,7,125,61,13,0,1,0.3139717425431711,0.6420722135007849,0.3056234718826406,0.2857142857142857,0.33516483516483514,0.061224489795918366,0.3333333333333333,0.0,,0.01098901098901099,0.14285714285714285
10,2014,AM,DEPUTADO FEDERAL,83,29,51,28,3,0,1,20,7,2,0,0,0.3493975903614458,0.6144578313253012,0.39215686274509803,0.3373493975903614,0.25,0.03614457831325301,0.6666666666666666,0.0,,0.012048192771084338,0.0
11,2014,AM,SENADOR,6,0,2,4,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,,0.0,,0.0,
12,2014,BA,DEPUTADO ESTADUAL,672,206,354,178,136,1,3,108,51,46,0,1,0.30654761904761907,0.5267857142857143,0.3050847457627119,0.2648809523809524,0.28651685393258425,0.20238095238095238,0.3382352941176471,0.001488095238095238,0.0,0.004464285714285714,0.3333333333333333
13,2014,BA,DEPUTADO FEDERAL,387,127,184,130,66,2,5,58,38,28,1,2,0.3281653746770026,0.4754521963824289,0.31521739130434784,0.3359173126614987,0.2923076923076923,0.17054263565891473,0.42424242424242425,0.00516795865633075,0.5,0.012919896640826873,0.4
14,2014,BA,SENADOR,7,2,1,4,2,0,0,0,2,0,0,0,0.2857142857142857,0.14285714285714285,0.0,0.5714285714285714,0.5,0.2857142857142857,0.0,0.0,,0.0,
15,2014,CE,DEPUTADO ESTADUAL,637,199,285,315,32,3,2,92,93,13,1,0,0.31240188383045525,0.4474097331240188,0.32280701754385965,0.4945054945054945,0.29523809523809524,0.05023547880690738,0.40625,0.004709576138147566,0.3333333333333333,0.0031397174254317113,0.0
16,2014,CE,DEPUTADO FEDERAL,217,65,99,103,14,0,1,35,28,2,0,0,0.2995391705069124,0.45622119815668205,0.35353535353535354,0.47465437788018433,0.27184466019417475,0.06451612903225806,0.14285714285714285,0.0,,0.004608294930875576,0.0
17,2014,CE,SENADOR,4,2,1,2,1,0,0,0,1,1,0,0,0.5,0.25,0.0,0.5,0.5,0.25,1.0,0.0,,0.0,
18,2014,DF,DEPUTADO DISTRITAL,1026,316,406,514,104,0,2,130,154,31,0,1,0.3079922027290448,0.39571150097465885,0.32019704433497537,0.5009746588693957,0.29961089494163423,0.10136452241715399,0.2980769230769231,0.0,,0.001949317738791423,0.5
19,2014,DF,DEPUTADO FEDERAL,134,44,43,79,11,1,0,15,25,3,1,0,0.3283582089552239,0.3208955223880597,0.3488372093023256,0.5895522388059702,0.31645569620253167,0.08208955223880597,0.2727272727272727,0.007462686567164179,1.0,0.0,
