,ANO,UF,CARGO,QTD_HOMENS,QTD_MULHERES,p_MULHERES,DEFERIDOS_HOMENS,DEFERIDO_MULHERES,p_DEFERIDOS_ENTRE_HOMENS,p_DEFERIDOS_ENTRE_MULHERES
0,2006,AC,DEPUTADO ESTADUAL,301,73,0.19518716577540107,249,50,0.8272425249169435,0.684931506849315
1,2006,AC,DEPUTADO FEDERAL,47,10,0.17543859649122806,43,7,0.9148936170212766,0.7
2,2006,AL,DEPUTADO ESTADUAL,218,32,0.128,181,26,0.8302752293577982,0.8125
3,2006,AL,DEPUTADO FEDERAL,86,12,0.12244897959183673,72,10,0.8372093023255814,0.8333333333333334
4,2006,AP,DEPUTADO ESTADUAL,215,46,0.17624521072796934,186,40,0.8651162790697674,0.8695652173913043
5,2006,AP,DEPUTADO FEDERAL,62,10,0.1388888888888889,54,9,0.8709677419354839,0.9
6,2006,AM,DEPUTADO ESTADUAL,373,69,0.15610859728506787,330,60,0.8847184986595175,0.8695652173913043
7,2006,AM,DEPUTADO FEDERAL,71,10,0.12345679012345678,68,10,0.9577464788732394,1.0
8,2006,BA,DEPUTADO ESTADUAL,515,74,0.12563667232597622,483,67,0.9378640776699029,0.9054054054054054
9,2006,BA,DEPUTADO FEDERAL,232,20,0.07936507936507936,201,15,0.8663793103448276,0.75
10,2006,CE,DEPUTADO ESTADUAL,502,93,0.15630252100840336,460,83,0.9163346613545816,0.8924731182795699
11,2006,CE,DEPUTADO FEDERAL,148,14,0.08641975308641975,133,12,0.8986486486486487,0.8571428571428571
12,2006,DF,DEPUTADO DISTRITAL,553,146,0.2088698140200286,511,134,0.9240506329113924,0.9178082191780822
13,2006,DF,DEPUTADO FEDERAL,102,17,0.14285714285714285,90,16,0.8823529411764706,0.9411764705882353
14,2006,ES,DEPUTADO ESTADUAL,356,48,0.1188118811881188,309,44,0.8679775280898876,0.9166666666666666
15,2006,ES,DEPUTADO FEDERAL,76,20,0.20833333333333334,66,17,0.868421052631579,0.85
16,2006,GO,DEPUTADO ESTADUAL,510,55,0.09734513274336283,433,41,0.8490196078431372,0.7454545454545455
17,2006,GO,DEPUTADO FEDERAL,122,9,0.06870229007633588,101,8,0.8278688524590164,0.8888888888888888
18,2006,MA,DEPUTADO ESTADUAL,389,72,0.1561822125813449,310,61,0.7969151670951157,0.8472222222222222
19,2006,MA,DEPUTADO FEDERAL,162,22,0.11956521739130435,134,19,0.8271604938271605,0.8636363636363636
20,2006,MT,DEPUTADO ESTADUAL,190,15,0.07317073170731707,156,13,0.8210526315789474,0.8666666666666667
21,2006,MT,DEPUTADO FEDERAL,93,17,0.15454545454545454,75,17,0.8064516129032258,1.0
22,2006,MS,DEPUTADO ESTADUAL,165,32,0.16243654822335024,147,25,0.8909090909090909,0.78125
23,2006,MS,DEPUTADO FEDERAL,62,17,0.21518987341772153,53,16,0.8548387096774194,0.9411764705882353
24,2006,MG,DEPUTADO ESTADUAL,888,112,0.112,753,100,0.847972972972973,0.8928571428571429
25,2006,MG,DEPUTADO FEDERAL,520,58,0.10034602076124567,474,54,0.9115384615384615,0.9310344827586207
26,2006,PA,DEPUTADO ESTADUAL,410,73,0.15113871635610765,357,58,0.8707317073170732,0.7945205479452054
27,2006,PA,DEPUTADO FEDERAL,152,29,0.16022099447513813,118,19,0.7763157894736842,0.6551724137931034
28,2006,PB,DEPUTADO ESTADUAL,233,22,0.08627450980392157,199,19,0.8540772532188842,0.8636363636363636
29,2006,PB,DEPUTADO FEDERAL,92,6,0.061224489795918366,80,6,0.8695652173913043,1.0
30,2006,PR,DEPUTADO ESTADUAL,505,74,0.12780656303972365,454,65,0.899009900990099,0.8783783783783784
31,2006,PR,DEPUTADO FEDERAL,256,27,0.09540636042402827,232,26,0.90625,0.9629629629629629
32,2006,PE,DEPUTADO ESTADUAL,455,61,0.1182170542635659,397,55,0.8725274725274725,0.9016393442622951
33,2006,PE,DEPUTADO FEDERAL,204,27,0.11688311688311688,174,24,0.8529411764705882,0.8888888888888888
34,2006,PI,DEPUTADO ESTADUAL,176,24,0.12,156,22,0.8863636363636364,0.9166666666666666
35,2006,PI,DEPUTADO FEDERAL,91,7,0.07142857142857142,79,4,0.8681318681318682,0.5714285714285714
36,2006,RJ,DEPUTADO ESTADUAL,1268,270,0.1755526657997399,1139,239,0.8982649842271293,0.8851851851851852
37,2006,RJ,DEPUTADO FEDERAL,683,112,0.14088050314465408,611,94,0.8945827232796486,0.8392857142857143
38,2006,RN,DEPUTADO ESTADUAL,159,22,0.12154696132596685,141,15,0.8867924528301887,0.6818181818181818
39,2006,RN,DEPUTADO FEDERAL,67,10,0.12987012987012986,60,8,0.8955223880597015,0.8
40,2006,RS,DEPUTADO ESTADUAL,450,69,0.1329479768786127,422,64,0.9377777777777778,0.927536231884058
41,2006,RS,DEPUTADO FEDERAL,273,39,0.125,245,33,0.8974358974358975,0.8461538461538461
42,2006,RO,DEPUTADO ESTADUAL,365,61,0.1431924882629108,312,52,0.8547945205479452,0.8524590163934426
43,2006,RO,DEPUTADO FEDERAL,70,13,0.1566265060240964,59,10,0.8428571428571429,0.7692307692307693
44,2006,RR,DEPUTADO ESTADUAL,350,59,0.14425427872860636,324,55,0.9257142857142857,0.9322033898305084
45,2006,RR,DEPUTADO FEDERAL,73,15,0.17045454545454544,68,13,0.9315068493150684,0.8666666666666667
46,2006,SC,DEPUTADO ESTADUAL,283,45,0.13719512195121952,262,39,0.9257950530035336,0.8666666666666667
47,2006,SC,DEPUTADO FEDERAL,132,16,0.10810810810810811,117,14,0.8863636363636364,0.875
48,2006,SP,DEPUTADO ESTADUAL,1516,263,0.14783586284429454,1293,225,0.8529023746701847,0.8555133079847909
49,2006,SP,DEPUTADO FEDERAL,944,154,0.14025500910746813,815,137,0.8633474576271186,0.8896103896103896
50,2006,SE,DEPUTADO ESTADUAL,177,27,0.1323529411764706,129,24,0.7288135593220338,0.8888888888888888
51,2006,SE,DEPUTADO FEDERAL,48,14,0.22580645161290322,34,12,0.7083333333333334,0.8571428571428571
52,2006,TO,DEPUTADO ESTADUAL,300,67,0.18256130790190736,260,58,0.8666666666666667,0.8656716417910447
53,2006,TO,DEPUTADO FEDERAL,66,20,0.23255813953488372,55,15,0.8333333333333334,0.75
54,2010,AC,DEPUTADO ESTADUAL,310,78,0.20103092783505155,261,69,0.8419354838709677,0.8846153846153846
55,2010,AC,DEPUTADO FEDERAL,35,10,0.2222222222222222,29,8,0.8285714285714286,0.8
56,2010,AL,DEPUTADO ESTADUAL,260,71,0.21450151057401812,214,50,0.823076923076923,0.704225352112676
57,2010,AL,DEPUTADO FEDERAL,64,19,0.2289156626506024,52,12,0.8125,0.631578947368421
58,2010,AP,DEPUTADO ESTADUAL,246,92,0.27218934911242604,184,67,0.7479674796747967,0.7282608695652174
59,2010,AP,DEPUTADO FEDERAL,73,29,0.28431372549019607,53,21,0.726027397260274,0.7241379310344828
60,2010,AM,DEPUTADO ESTADUAL,292,126,0.3014354066985646,249,98,0.8527397260273972,0.7777777777777778
61,2010,AM,DEPUTADO FEDERAL,49,22,0.30985915492957744,37,12,0.7551020408163265,0.5454545454545454
62,2010,BA,DEPUTADO ESTADUAL,574,118,0.17052023121387283,492,94,0.8571428571428571,0.7966101694915254
63,2010,BA,DEPUTADO FEDERAL,247,33,0.11785714285714285,211,29,0.854251012145749,0.8787878787878788
64,2010,CE,DEPUTADO ESTADUAL,428,175,0.2902155887230514,312,128,0.7289719626168224,0.7314285714285714
65,2010,CE,DEPUTADO FEDERAL,114,40,0.2597402597402597,90,24,0.7894736842105263,0.6
66,2010,DF,DEPUTADO DISTRITAL,660,224,0.25339366515837103,596,201,0.9030303030303031,0.8973214285714286
67,2010,DF,DEPUTADO FEDERAL,91,27,0.2288135593220339,73,20,0.8021978021978022,0.7407407407407407
68,2010,ES,DEPUTADO ESTADUAL,373,46,0.10978520286396182,309,35,0.8284182305630027,0.7608695652173914
69,2010,ES,DEPUTADO FEDERAL,75,15,0.16666666666666666,60,12,0.8,0.8
70,2010,GO,DEPUTADO ESTADUAL,507,138,0.21395348837209302,431,107,0.8500986193293886,0.7753623188405797
71,2010,GO,DEPUTADO FEDERAL,136,15,0.09933774834437085,108,11,0.7941176470588235,0.7333333333333333
