,UF,ANO,CARGO,DS,COR,CANDIDATOS_COR,TOTAL,% do Total
63,AC,2014,DEPUTADO ESTADUAL,PT do B,PARDA,7,10,0.7
64,AC,2014,DEPUTADO ESTADUAL,PROS,PARDA,2,2,1.0
65,AC,2014,DEPUTADO ESTADUAL,SD,BRANCA,3,10,0.3
66,AC,2014,DEPUTADO ESTADUAL,SD,PARDA,7,10,0.7
67,AC,2014,DEPUTADO ESTADUAL,PSL,BRANCA,2,5,0.4
68,AC,2014,DEPUTADO ESTADUAL,PSL,PARDA,3,5,0.6
69,AC,2014,DEPUTADO FEDERAL,PSDB,BRANCA,2,5,0.4
70,AC,2014,DEPUTADO FEDERAL,PSDB,PARDA,3,5,0.6
71,AC,2014,DEPUTADO FEDERAL,DEM,BRANCA,2,8,0.25
72,AC,2014,DEPUTADO FEDERAL,DEM,PRETA,3,8,0.375
73,AC,2014,DEPUTADO FEDERAL,DEM,PARDA,2,8,0.25
74,AC,2014,DEPUTADO FEDERAL,DEM,INDÍGENA,1,8,0.125
75,AC,2014,DEPUTADO FEDERAL,PT do B,PARDA,2,2,1.0
76,AC,2014,DEPUTADO FEDERAL,PMDB,BRANCA,2,3,0.6666666666666666
77,AC,2014,DEPUTADO FEDERAL,PMDB,PARDA,1,3,0.3333333333333333
78,AC,2014,DEPUTADO FEDERAL,PP,BRANCA,3,7,0.42857142857142855
79,AC,2014,DEPUTADO FEDERAL,PP,PARDA,4,7,0.5714285714285714
80,AC,2014,DEPUTADO FEDERAL,SD,PARDA,1,1,1.0
81,AC,2014,DEPUTADO FEDERAL,PMN,PRETA,1,1,1.0
82,AC,2014,DEPUTADO FEDERAL,PSOL,BRANCA,1,3,0.3333333333333333
83,AC,2014,DEPUTADO FEDERAL,PSOL,PARDA,2,3,0.6666666666666666
84,AC,2014,DEPUTADO FEDERAL,PV,PARDA,4,4,1.0
85,AC,2014,DEPUTADO FEDERAL,PSD,BRANCA,3,4,0.75
86,AC,2014,DEPUTADO FEDERAL,PSD,PARDA,1,4,0.25
87,AC,2014,DEPUTADO FEDERAL,PT,BRANCA,5,11,0.45454545454545453
88,AC,2014,DEPUTADO FEDERAL,PT,PARDA,6,11,0.5454545454545454
89,AC,2014,DEPUTADO FEDERAL,PSL,PARDA,1,1,1.0
90,AC,2014,DEPUTADO FEDERAL,PPS,PARDA,1,1,1.0
91,AC,2014,DEPUTADO FEDERAL,PSC,AMARELA,1,1,1.0
92,AC,2014,DEPUTADO FEDERAL,PRB,BRANCA,1,1,1.0
93,AC,2014,DEPUTADO FEDERAL,PRP,PARDA,1,1,1.0
94,AC,2014,DEPUTADO FEDERAL,PR,PARDA,1,1,1.0
95,AC,2014,DEPUTADO FEDERAL,PDT,BRANCA,1,1,1.0
96,AC,2014,DEPUTADO FEDERAL,PSB,PARDA,1,1,1.0
97,AC,2014,DEPUTADO FEDERAL,PHS,PARDA,1,1,1.0
98,AC,2014,DEPUTADO FEDERAL,PTB,PARDA,1,1,1.0
99,AC,2014,DEPUTADO FEDERAL,PC do B,PARDA,1,1,1.0
100,AC,2014,DEPUTADO FEDERAL,PROS,PARDA,1,1,1.0
101,AC,2014,DEPUTADO FEDERAL,PPL,PARDA,2,2,1.0
102,AC,2014,DEPUTADO FEDERAL,PTN,PARDA,1,1,1.0
103,AC,2014,DEPUTADO FEDERAL,PSDC,PARDA,1,1,1.0
104,AC,2014,SENADOR,PP,PARDA,1,1,1.0
105,AC,2014,SENADOR,PSOL,INDÍGENA,1,1,1.0
106,AC,2014,SENADOR,PC do B,PARDA,1,1,1.0
107,AC,2014,SENADOR,PMN,BRANCA,1,1,1.0
108,AC,2018,DEPUTADO ESTADUAL,PDT,BRANCA,5,28,0.17857142857142858
109,AC,2018,DEPUTADO ESTADUAL,PDT,PRETA,1,28,0.03571428571428571
110,AC,2018,DEPUTADO ESTADUAL,PDT,PARDA,22,28,0.7857142857142857
111,AC,2018,DEPUTADO ESTADUAL,PRP,BRANCA,2,19,0.10526315789473684
112,AC,2018,DEPUTADO ESTADUAL,PRP,PRETA,2,19,0.10526315789473684
113,AC,2018,DEPUTADO ESTADUAL,PRP,PARDA,15,19,0.7894736842105263
114,AC,2018,DEPUTADO ESTADUAL,DEM,BRANCA,2,16,0.125
115,AC,2018,DEPUTADO ESTADUAL,DEM,PRETA,1,16,0.0625
116,AC,2018,DEPUTADO ESTADUAL,DEM,PARDA,12,16,0.75
117,AC,2018,DEPUTADO ESTADUAL,DEM,AMARELA,1,16,0.0625
118,AC,2018,DEPUTADO ESTADUAL,PRB,PRETA,2,15,0.13333333333333333
119,AC,2018,DEPUTADO ESTADUAL,PRB,PARDA,12,15,0.8
120,AC,2018,DEPUTADO ESTADUAL,PRB,INDÍGENA,1,15,0.06666666666666667
121,AC,2018,DEPUTADO ESTADUAL,PSDB,BRANCA,11,32,0.34375
122,AC,2018,DEPUTADO ESTADUAL,PSDB,PARDA,21,32,0.65625
123,AC,2018,DEPUTADO ESTADUAL,PSL,BRANCA,13,30,0.43333333333333335
124,AC,2018,DEPUTADO ESTADUAL,PSL,PRETA,1,30,0.03333333333333333
125,AC,2018,DEPUTADO ESTADUAL,PSL,PARDA,16,30,0.5333333333333333
126,AC,2018,DEPUTADO ESTADUAL,PP,BRANCA,7,28,0.25
127,AC,2018,DEPUTADO ESTADUAL,PP,PARDA,21,28,0.75
128,AC,2018,DEPUTADO ESTADUAL,PPS,BRANCA,2,12,0.16666666666666666
129,AC,2018,DEPUTADO ESTADUAL,PPS,PARDA,10,12,0.8333333333333334
130,AC,2018,DEPUTADO ESTADUAL,PTB,BRANCA,3,28,0.10714285714285714
131,AC,2018,DEPUTADO ESTADUAL,PTB,PARDA,25,28,0.8928571428571429
132,AC,2018,DEPUTADO ESTADUAL,PMB,BRANCA,1,8,0.125
133,AC,2018,DEPUTADO ESTADUAL,PMB,PARDA,7,8,0.875
134,AC,2018,DEPUTADO ESTADUAL,PATRI,BRANCA,2,3,0.6666666666666666
135,AC,2018,DEPUTADO ESTADUAL,PATRI,PARDA,1,3,0.3333333333333333
136,AC,2018,DEPUTADO ESTADUAL,MDB,BRANCA,2,17,0.11764705882352941
137,AC,2018,DEPUTADO ESTADUAL,MDB,PRETA,1,17,0.058823529411764705
138,AC,2018,DEPUTADO ESTADUAL,MDB,PARDA,14,17,0.8235294117647058
139,AC,2018,DEPUTADO ESTADUAL,PT,BRANCA,4,20,0.2
140,AC,2018,DEPUTADO ESTADUAL,PT,PRETA,6,20,0.3
141,AC,2018,DEPUTADO ESTADUAL,PT,PARDA,10,20,0.5
142,AC,2018,DEPUTADO ESTADUAL,PSB,BRANCA,2,35,0.05714285714285714
143,AC,2018,DEPUTADO ESTADUAL,PSB,PRETA,2,35,0.05714285714285714
